"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"81","GSG","11-1-C3",1,"C3","FILET","A",30,"30-H10",5,"White","PS",1.65,3.347,3.238,7.967,10.275,3.347,3.238,3.2925,0.975407513076096,0.983626908828898,"sphere","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"82","GSG","11-3-C",3,"C","FILET","A",15,"38-G10",5,"Red","PS",3.422,3.406,3.291,8.382,10.386,3.406,3.291,3.3485,0.974496780931176,0.983021385840991,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"83","GSG","11-3-C",3,"C","FILET","A",15,"38-G11",5,"Red","PS",2.089,3.186,3.239,7.805,10.051,3.186,3.239,3.2125,1.01243347013862,1.00829476834272,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"84","GSG","11-3-C",3,"C","FILET","A",15,"38-G12",5,"Red","PS",1.759,3.802,3.589,10.441,11.64,3.802,3.589,3.6955,0.957482397901453,0.971719265661291,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"85","GSG","11-3-C",3,"C","FILET","A",15,"38-H1",5,"Red","PS",2.919,2.795,2.841,6.251,8.982,2.795,2.841,2.818,1.01230139009912,1.00820659201467,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"86","GSG","11-3-C",3,"C","FILET","A",15,"38-H2",5,"White","PS",2.376,3.824,2.087,5.344,9.504,3.824,2.087,2.9555,0.620794735621231,0.749961925055096,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"87","GSG","11-3-C",3,"C","FILET","A",15,"38-H3",3,"White","PS",0.324,1.421,0.932,0.862,3.911,1.421,0.932,0.33,1.36101184039417,0.534048335064553,"fragment","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"88","GSG","11-3-C",3,"C","FILET","A",15,"38-H5",5,"Red","PS",1.819,4.435,2.669,8.921,11.428,4.435,2.669,3.552,0.67245818355732,0.784051808411977,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"89","GSG","11-3-C",3,"C","FILET","A",15,"38-H6",3,"White","PS",0.316,1.789,1.13,1.356,4.921,1.789,1.13,0.33,1.47067362293442,0.488416770215993,"fragment","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"90","GSG","11-3-C",3,"C","FILET","A",15,"38-H8",3,"Blue","PS",0.167,2.798,2.804,5.846,8.685,2.798,2.804,0.33,2.91807993448426,0.490755877525612,"fragment","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
"91","GSG","11-3-C",3,"C","FILET","A",15,"38-H9",5,"White","PS",2.085,3.909,1.967,5.515,11.112,3.909,1.967,2.938,0.580424357053818,0.723172001432003,"sphere","GSG",3,"C",49.7904,174,6.8,"Garonne","PS","No","B1"
